code,Ground_Truth_Simple_Names,Ground_Truth_FQNs
"public class JodaTime26 {

	public static void main(String[] args) {
		Duration duration = new Duration(1328223198241L - 1326308781131L);
		Period p2 = new Period(duration.getMillis());
		System.out.println(p2.getDays())
		System.out.println(p2.getHours());
	}

}","['Duration', 'Period']","['org.joda.time.Duration', 'org.joda.time.Period']"
"public class xstream_class_26 {
	public class IntegerListConverter implements SingleValueConverter {
		@Override
		public boolean canConvert(Class clazz)
			return List.class.isAssignableFrom(clazz);
		}

		@Override
		public Object fromString(String arg0) {
			Collection<Integer> collection = new ArrayList<Integer>();
			String[] integerStrings = arg0.split("" "");
			for (int i = 0; i < integerStrings.length; i++) {
				collection.add(Integer.valueOf(integerStrings[i]));
			}
			return collection;
		}

		@Override
		public String toString(Object arg0) {
			List collection = (List) arg0;
			StringBuffer sb = new StringBuffer();
			boolean first = true;
			for (Object object : collection) {
				if (first) {
					first = false;
				} else {
					sb.append(' ');
				}
				sb.append(object.toString());
			}
			return sb.toString();
		}
	}
}","['List', 'Collection', 'ArrayList', 'SingleValueConverter', 'Class', 'String', 'Object', 'Boolean', 'Integer']","['java.util.List', 'java.util.Collection', 'java.util.ArrayList', 'com.thoughtworks.xstream.converters.SingleValueConverter', 'java.lang.Class', 'java.lang.String', 'java.lang.Object', 'java.lang.Boolean', 'java.lang.Integer']"
"public class xstream_class_40 implements Converter {

	@SuppressWarnings(""rawtypes"")
	@Override
	public boolean canConvert(Class clazz) {
		return clazz.equals(Integer.class);
	}

	@Override
	public void marshal(Object object, HierarchicalStreamWriter writer, MarshallingContext context) {
	}

	@Override
	public Object unmarshal(HierarchicalStreamReader reader, UnmarshallingContext context) {
		String text = (String) reader.getValue();
		Integer number = Integer.parseInt(text.trim());
		return number
	}
}","['Converter', 'Class', 'HierarchicalStreamWriter', 'MarshallingContext', 'Object', 'HierarchicalStreamReader', 'UnmarshallingContext', 'String', 'Integer']","['com.thoughtworks.xstream.converters.Converter', 'java.lang.Class', 'com.thoughtworks.xstream.io.HierarchicalStreamWriter', 'com.thoughtworks.xstream.converters.MarshallingContext', 'java.lang.Object', 'com.thoughtworks.xstream.io.HierarchicalStreamReader', 'com.thoughtworks.xstream.converters.UnmarshallingContext', 'java.lang.String', 'java.lang.Integer']"
"public class hb5 {
    @Test
    public void textTx() {
        SessionFactory sessionFactory = null;
        Session session = null;
        Transaction tx

    }
}

","['Test', 'SessionFactory', 'Session', 'Transaction']","['org.junit.Test', 'org.hibernate.SessionFactory', 'org.hibernate.Session', 'org.hibernate.Transaction']"
"public class hibernate_class_26 {
	private SessionFactory sessionFactory;

	public static void main(String[] args) {
		hibernate_class_26 d = new hibernate_class_26();
		d.run3()
	}

	public void run3() {

		Session session = getSession();
		session.beginTransaction();

		createEntities(session);

		session.getTransaction().commit();

		System.out.println(""NOW WITH A NEW TRANSACTION"");
		session = getSession();
		session.beginTransaction();

		Query query = session.createQuery(""from A"");
		List results = query.list();
		for (int i = 0; i < results.size(); i++) {
			System.out.println(""Row "" + i + "" was:"");
			A a = (A) results.get(i);
			System.out.println(""Result "" + i);
			System.out.println(a.toString())
		}

		session.getTransaction().commit();

	}

	public void createEntities(Session session) {
		for (int i = 0; i < 2; i++) {
			A a = new A();

			B b = new B();

			a.setB(b);

			session.save(a);

		}

	}

	public Session getSession() {
		if (sessionFactory == null) {
			AnnotationConfiguration config = new AnnotationConfiguration();
			config.addAnnotatedClass(A.class);
			config.addAnnotatedClass(B.class);
			config.configure();
			new SchemaExport(config).create(true, true);

			sessionFactory = config.buildSessionFactory();
		}
		Session session = sessionFactory.getCurrentSession();

		return session;
	}

	public class A {

		private Integer id;
		private B b;

		public A() {
			super();
		}

		@Id
		@GeneratedValue
		public Integer getId() {
			return id;
		}

		public void setId(Integer id) {
			this.id = id;
		}


		public B getB() {
			return b;
		}

		public void setB(B b) {
			this.b = b;
		}
	}

	@Entity
	public class B {

		private Integer id;

		public B() {
			super();
		}

		@Id
		@GeneratedValue
		public Integer getId() {
			return id;
		}

		public void setId(Integer id) {
			this.id = id;
		}
	}

}","['Fetch', 'Entity', 'SessionFactory', 'AnnotationConfiguration', 'List', 'GeneratedValue', 'Session', 'CascadeType', 'OneToOne', 'SchemaExport', 'FetchMode', 'Query', 'Id']","['org.hibernate.annotations.Fetch', 'org.hibernate.annotations.Entity', 'org.hibernate.SessionFactory', 'org.hibernate.cfg.AnnotationConfiguration', 'java.util.List', 'javax.persistence.GeneratedValue', 'org.hibernate.Session', 'org.hibernate.annotations.CascadeType', 'javax.persistence.OneToOne', 'org.hibernate.tool.hbm2ddl.SchemaExport', 'org.hibernate.FetchMode', 'org.hibernate.Query', 'javax.persistence.Id']"
"public class xt19 {
    public List<String> tags = new ArrayList<String>();
    public List<String> notags = new ArrayList<String>();


","['List', 'ArrayList']","['java.util.List', 'java.util.ArrayList']"
"public class jt1 {
    public static void f1(){
        DateTimeFormatter dtf = DateTimeFormat.forPattern(""MM/dd/yyyy HH:mm:ss"");
        DateTime jodatime = dtf.parseDateTime("""");


}
","['DateTimeFormatter', 'DateTimeFormat', 'DateTime']","['org.joda.time.format.DateTimeFormatter', 'org.joda.time.format.DateTimeFormat', 'org.joda.time.DateTime']"
"public class ad5 {
    public static void h1(){
        Bundle args = new Bundle();
        args.putInt(""someInt"", 328);
        args.putString(""someString"", ""jackson"");

}
",['Bundle'],['android.os.Bundle']
"public class hb6 {
    public static  void h1()
        Configuration config = new Configuration().configure();
        SessionFactory sessionFactory = config.buildSessionFactory();
    }
}
","['Configuration', 'SessionFactory']","['org.hibernate.cfg.Configuration', 'org.hibernate.SessionFactory']"
"public class hibernate_class_9 implements Serializable {
	private int patientId;
	private String patientName;
	private String providerId; // foreign key to provider

	private static final long serialVersionUID = 81073;

	public static void load(Session session, List<String> values) {
		hibernate_class_9 PatientInfo = new hibernate_class_9();

		PatientInfo.setPatientId(Integer.parseInt(values.get(0)));
		PatientInfo.setPatientName(values.get(1));
		PatientInfo.setProviderId(values.get(2));

		session.save(PatientInfo)
	}


	public int getPatientId() {
		return patientId;
	}


	public void setPatientId(int PatientId) {
		this.patientId = PatientId;
	}


	public String getPatientName() {
		return this.patientName;
	}


	public void setPatientName(String PatientName) {
		this.patientName = PatientName;
	}


	public String getProviderId() {
		return this.providerId;
	}


	public void setProviderId(String id) {
		this.providerId = id;
	}


	public String getProvider() {
		return this.providerId;
	}

	public void setProvider(String id) {
		this.providerId = id;
	}


	public static void main(String[] args) {

	}
}","['Serializable', 'Session', 'List', 'hibernate_class_9']","['java.io.Serializable', 'org.hibernate.Session', 'java.util.List', 'packageName.hibernate_class_9']"
"public class hb20 {
    private static HibernateUtil HibernateUtils;

    public static void h1(){
        Transaction tx = null;
        FragmentManager session = null
        tx = (Transaction) session.beginTransaction();

    }
}
","['FragmentManager', 'HibernateUtil', 'Transaction']","['android.app.FragmentManager', 'net.sf.gilead.core.hibernate.HibernateUtil', 'org.hibernate.Transaction']"
"public class Android29 extends Service {

	@Override
	public IBinder onBind(Intent arg0) {

		return null;
	}

	@Override
	public void onCreate() {
		PowerManager pm = (PowerManager) getSystemService(Context.POWER_SERVICE);
		PowerManager.WakeLock wl = pm.newWakeLock(PowerManager.FULL_WAKE_LOCK, ""My Tag"");
		wl.acquire();
	}

	@Override
	public void onDestroy() {
		PowerManager.WakeLock wl = null;
		wl.release()
	}

}","['Service', 'IBinder', 'Intent', 'PowerManager', 'WakeLock', 'Context']","['android.app.Service', 'android.os.IBinder', 'android.content.Intent', 'android.os.PowerManager', 'android.os.PowerManager.WakeLock', 'android.content.Context']"
"public class hibernate_class_6 {

	public static void main(final String[] args) throws MalformedURLException {
		File baseDir = new File(""C:\\workspaces\\hobby"");
		hibernate_class_6 importer = new hibernate_class_6();
		Configuration config = importer.setupDb(baseDir);

		if (config != null)
			importer.importContents(new File(baseDir, ""people.xml""), config);
		}
	}

	private void importContents(final File file, final Configuration config) throws MalformedURLException {
		SessionFactory sessionFactory = config.buildSessionFactory();
		Session session = sessionFactory.openSession();
		Transaction tx = session.beginTransaction();
		Session dom4jSession = session.getSession(EntityMode.DOM4J);

		SAXReader saxReader = new SAXReader();
		try {
			Document document = saxReader.read(file);

			List list = document.selectNodes(""//Person"");
			Iterator iter = list.iterator();

			while (iter.hasNext()) {
				Object personObj = iter.next();

			}

			session.flush();
			tx.commit();
			session.close();
		} catch (HibernateException e) {
			e.printStackTrace();
		} catch (DocumentException e) {
			e.printStackTrace();
		}
	}

	private Configuration setupDb(final File baseDir) throws HibernateException {
		Configuration cfg = new Configuration();
		cfg.addFile(new File(baseDir, ""name/seller/rich/hobby/Person.hbm.xml""));
		cfg.addFile(new File(baseDir, ""name/seller/rich/hobby/Hobby.hbm.xml""));

		SchemaExport export = new SchemaExport(cfg);

		export.setOutputFile(""hobbyDB.txt"");
		export.execute(false, true, false, false);
		return cfg;
	}
}","['File', 'Configuration', 'SessionFactory', 'Session', 'Transaction', 'EntityMode', 'SAXReader', 'Document', 'List', 'Iterator', 'HibernateException', 'DocumentException', 'SchemaExport']","['java.io.File', 'org.hibernate.cfg.Configuration', 'org.hibernate.SessionFactory', 'org.hibernate.Session', 'org.hibernate.Transaction', 'org.hibernate.EntityMode', 'org.dom4j.io.SAXReader', 'org.dom4j.Document', 'java.util.List', 'java.util.Iterator', 'org.hibernate.HibernateException', 'org.dom4j.DocumentException', 'org.hibernate.tool.hbm2ddl.SchemaExport']"
"public class JodaTime44 {

	public static void main(String[] args) {
		PeriodFormatter daysHoursMinutes = new PeriodFormatterBuilder().appendDays().appendSuffix("" day"", "" days"")
				.appendSeparator("" and "").appendMinutes().appendSuffix("" minute"", "" minutes"").appendSeparator("" and "")
				.appendSeconds().appendSuffix("" second"", "" seconds"").toFormatter();

		Period period = new Period(72, 24, 12, 0)

		System.out.println(daysHoursMinutes.print(period));
		System.out.println(daysHoursMinutes.print(period.normalizedStandard()));
	}

}","['PeriodFormatterBuilder', 'PeriodFormatter', 'Period']","['org.joda.time.format.PeriodFormatterBuilder', 'org.joda.time.format.PeriodFormatter', 'org.joda.time.Period']"
"public class JodaTime22 {

	public static void main(String[] args) {
		// TODO Auto-generated method stub

	}

	public String getDateFromDateTime(Date date, Boolean display) throws ParseException {

		DateTimeFormatter dtFormatter

		if (display)
			dtFormatter = DateTimeFormat.forPattern(""MM/dd/yyyy"");
		else
			dtFormatter = DateTimeFormat.forPattern(""yyyy-MM-dd"");

		DateTime dt = new DateTime(date);
		String myDate = dt.toString(dtFormatter);

		System.out.println(
				""OrderDisplayUtil.java:getDateFromDateTime("" + date + "", "" + display + ""): "" + ""myDate = "" + myDate);

		return myDate;

	}
}","['Date', 'Boolean', 'DateTimeFormatter', 'DateTimeFormat', 'DateTime']","['java.util.Date', 'java.lang.Boolean', 'org.joda.time.format.DateTimeFormatter', 'org.joda.time.format.DateTimeFormat', 'org.joda.time.DateTime']"
"public class jt14 {
    public static void h1(){
        ZoneId z = ZoneId.of( ""America/Montreal"" );
        ZonedDateTime start = ZonedDateTime.of( 2017 , 1 , 17 , 14 , 45 , 0 , 0 , z );
        ZonedDateTime stop = ZonedDateTime.of( 2017 , 1 , 17 , 15 , 12 , 0 , 0 , z );

}
","['ZoneId', 'ZonedDateTime']","['java.time.ZoneId', 'java.time.ZonedDateTime']"
"public class xstream_class_36 {
	public class MapTest {
		private Map<String, String> mapList;

		public MapTest()

			mapList = new HashMap<String, String>();
		}

		public void setServicesHealth(String id, String name) {
			mapList.put(id, name);
		}
	}

	public static void main(String arg[]) {
		MapTest services = null;
		services.setServicesHealth(""ID01"", ""Jack"");
		services.setServicesHealth(""ID02"", ""Neil"");

		XStream stream = new XStream(new StaxDriver());
		stream.alias(""MapTest"", MapTest.class);
		stream.addImplicitMap(MapTest.class, ""map"", ""id"", String.class, ""name"");
		String xmlStr = stream.toXML(services);
		System.out.println(xmlStr);
	}
}","['MapTest', 'Map', 'String', 'XStream', 'StaxDriver']","['xstream_class_36.MapTest', 'java.util.Map', 'java.lang.String', 'com.thoughtworks.xstream.XStream', 'com.thoughtworks.xstream.io.xml.StaxDriver']"
"public class xt11 {
    public static void h1(){
        ByteArrayOutputStream outputStream = new ByteArrayOutputStream();
        Node doc = null;
        Source xmlSource = new DOMSource(doc);
    }

","['ByteArrayOutputStream', 'Node', 'Source', 'DOMSource']","['java.io.ByteArrayOutputStream', 'org.w3c.dom.Node', 'javax.xml.transform.Source', 'javax.xml.transform.dom.DOMSource']"
"class Test {
	public static void main(String args[]) {
		int[] solutionArray = { 1, 2, 3, 4, 5, 6, 16, 15, 14, 13, 12, 11 };

		shuffleArray(solutionArray);
		for (int i = 0; i < solutionArray.length; i++) {
			System.out.print(solutionArray[i] + "" "");
		}
		System.out.println();

	}

	// Implementing Fisher???Yates shuffle
	static void shuffleArray(int[] ar) {
		// If running on Java 6 or older, use `new Random()` on RHS here
		Random rnd = ThreadLocalRandom.current();
		for (int i = ar.length - 1; i > 0; i--) {
			int index = rnd.nextInt(i + 1);
			// Simple swap
			int a = ar[index];
			ar[index] = ar[i];
			ar[i] = a;
		}
	}

	protected static List<Integer> range(int n) {
		return toList(new Range(n), new ArrayList<Integer>());
	}

	protected static <T> List<T> toList(Iterable<T> iterable) {
		return toList(iterable, new ArrayList<T>());
	}

	protected static <T> List<T> toList(Iterable<T> iterable, List<T> destination) {
		addAll(destination, iterable.iterator());

		return destination;
	}

	protected static <T> void addAll(Collection<T> collection, Iterator<T> iterator) {
		while (iterator.hasNext()) {
			collection.add(iterator.next());
		}
	}

	private static class Range implements Iterable<Integer> {
		private int start;
		private int stop;
		private int step;

		private Range(int n) {
			this(0, n, 1);
		}

		private Range(int start, int stop) {
			this(start, stop, 1);
		}

		private Range(int start, int stop, int step) {
			this.start = start;
			this.stop = stop;
			this.step = step;
		}

		@Override
		public Iterator<Integer> iterator() {
			final int min = start;
			final int max = stop / step;

			return new Iterator<Integer>() {
				private int current = min;

				@Override
				public boolean hasNext() {
					return current < max;
				}

				@Override
				public Integer next() {
					if (hasNext()) {
						return current++ * step;
					} else {
						throw new NoSuchElementException(""Range reached the end"");
					}
				}

				@Override
				public void remove() {
					throw new UnsupportedOperationException(""Can't remove values from a Range"");
				}
			}
		}
	}
}","['int', 'Random', 'ThreadLocalRandom', 'Iterator', 'Collection', 'List', 'ArrayList', 'NoSuchElementException']","['java.util.Random', 'java.util.concurrent.ThreadLocalRandom', 'java.util.Iterator', 'java.util.Collection', 'java.util.List', 'java.util.ArrayList', 'java.util.NoSuchElementException']"
"public class jdk8 {
    public static void h1(){
        DecimalFormat df = new DecimalFormat(""0.00"", new DecimalFormatSymbols(Locale.FRANCE));
        System.out.println(df.format(""""))
    }
}
","['DecimalFormat', 'DecimalFormatSymbols', 'Locale']","['java.text.DecimalFormat', 'java.text.DecimalFormatSymbols', 'java.util.Locale']"
"public class JodaTime37 {

	public static void main(String[] args)
		DateTimeZone BRAZIL = DateTimeZone.forID(""America/Sao_Paulo"");
		DateTime start = new DateTime(2013, 10, 20, 5, 0, 0, BRAZIL);
		DateTime end = new DateTime(2013, 10, 21, 13, 0, 0, BRAZIL);
		System.out.println(getDaysBetween(start, end));
	}

	public static int getDaysBetween(DateTime earlier, DateTime later) {
		return (int) TimeUnit.MILLISECONDS.toDays(later.getMillis() - earlier.getMillis());
	}
}","['DateTimeZone', 'DateTime', 'TimeUnit']","['org.joda.time.DateTimeZone', 'org.joda.time.DateTime', 'java.util.concurrent.TimeUnit']"
"public class ad4 {
    public static void hideKeyboardFrom(Context context, View view) {
        InputMethodManager imm = (InputMethodManager) context.getSystemService(Activity.INPUT_METHOD_SERVICE);
        imm.hideSoftInputFromWindow(view.getWindowToken(), 0);
    }


","['Activity', 'Context', 'View', 'InputMethodManager']","['android.app.Activity', 'android.content.Context', 'android.view.View', 'android.view.inputmethod.InputMethodManager']"
"public class jt13 {
    public static void h1(){
        ZoneId z = ZoneId.of( ""Pacific/Auckland"" ) ;
        ZonedDateTime now = ZonedDateTime.now( z ) ;

}
","['ZoneId', 'ZonedDateTime']","['java.time.ZoneId', 'java.time.ZonedDateTime']"
"public class JodaTime15 {
	public static void main(String[] args)
		MutableDateTime now = new MutableDateTime();
		now.setHourOfDay(2);
		now.setMinuteOfHour(0);
		now.setSecondOfMinute(0);
		now.setMillisOfSecond(0);
		DateTime myDate = now.toDateTime();
	}
}","['MutableDateTime', 'DateTime']","['org.joda.time.MutableDateTime', 'org.joda.time.DateTime']"
"public class xstream_class_37
	public class FieldDtoConvertor implements Converter {

		public boolean canConvert(Class clazz)
			return clazz.equals(FieldDto.class);
		}

		public void marshal(final Object value, final HierarchicalStreamWriter writer,
				final MarshallingContext context) {
			final FieldDto fieldDto = (FieldDto) value;
			for (int i = 0; i < fieldDto.getSize(); i++) {
				writer.addAttribute(fieldDto.getAttributeName(i), fieldDto.getAttributeValue(i));
			}
			writer.setValue(fieldDto.getText());
		}

		public Object unmarshal(HierarchicalStreamReader reader, UnmarshallingContext context) {
			FieldDto fieldDto = new FieldDto();
			for (int i = 0; i < reader.getAttributeCount(); i++) {
				fieldDto.addAttribute(reader.getAttributeName(i), reader.getAttribute(i));
			}
			fieldDto.setText(reader.getValue());
			return fieldDto;
		}
	}

	public class FieldDto {
		private ArrayList<String> attributeName = null;
		private ArrayList<String> attributeValue = null;
		private String text;

		public FieldDto() {
			attributeName = new ArrayList<String>();
			attributeValue = new ArrayList<String>();
		}

		public String getAttributeName(int index) {
			return attributeName.get(index);
		}

		public void addAttribute(String attributeName, String attributeValue) {
			this.attributeName.add(attributeName);
			this.attributeValue.add(attributeValue);
		}

		public String getAttributeValue(int index) {
			return attributeValue.get(index);
		}

		public String getText() {
			return text;
		}

		public void setText(String text) {
			this.text = text;
		}

		public int getSize() {
			return attributeName.size();
		}
	}

}","['Converter', 'HierarchicalStreamWriter', 'UnmarshallingContext', 'MarshallingContext', 'HierarchicalStreamReader', 'ArrayList']","['com.thoughtworks.xstream.converters.Converter', 'com.thoughtworks.xstream.io.HierarchicalStreamWriter', 'com.thoughtworks.xstream.converters.UnmarshallingContext', 'com.thoughtworks.xstream.converters.MarshallingContext', 'com.thoughtworks.xstream.io.HierarchicalStreamReader', 'java.util.ArrayList']"
"public class xstream_class_23 {
	@XStreamAlias(""test"")
	public class TestObject {
		private String foo;

		public String getFoo() {
			//return foo; -- Adjusted for EDIT#2
			return foo.toLowerCase()
		}

		public void setFoo(String foo) {
			this.foo = foo;
		}
	}

	public void test() throws Exception {
		XStream x = new XStream(new XppDriver());
		x.autodetectAnnotations(true);
		x.processAnnotations(TestObject.class);

		x.registerConverter(new JavaBeanConverter(x.getMapper()));

		TestObject o = new TestObject();
		//o.setFoo(""bar""); -- Adjusted for EDIT#2
		o.setFoo(""BAR"");

		String xml = x.toXML(o);

		System.out.println(xml);

		/*
		  Expecting...
		    <test>
		      <foo>bar</foo>
		    </test>

		  But instead getting...
		    <test>
		      <foo/>
		    </test>
		*/
	}
}","['XStream', 'XppDriver', 'XStreamAlias', 'JavaBeanConverter', 'TestObject', 'String']","['com.thoughtworks.xstream.XStream', 'com.thoughtworks.xstream.io.xml.XppDriver', 'com.thoughtworks.xstream.annotations.XStreamAlias', 'com.thoughtworks.xstream.converters.javabean.JavaBeanConverter', 'xstream_class_23.TestObject', 'java.lang.String']"
"public class xt12 {
    public static void h1(){
        ByteArrayOutputStream outputStream = new ByteArrayOutputStream();
        try
            Transformer t = TransformerFactory.newInstance().newTransformer();
        } catch (TransformerConfigurationException e) {
            e.printStackTrace();
        }
    }
}
","['ByteArrayOutputStream', 'Transformer', 'TransformerFactory', 'TransformerConfigurationException']","['java.io.ByteArrayOutputStream', 'javax.xml.transform.Transformer', 'javax.xml.transform.TransformerFactory', 'javax.xml.transform.TransformerConfigurationException']"
"public class gwt_class_5
	private final JsArray<JsArrayInteger> popItemFromArray(
		     final JsArray<JsArrayInteger> oldArray) {

		    JsArray<JsArrayInteger> newArray = null;

		    for (int i = 0; i < oldArray.length() - 1; i++) {
		     newArray.set(i, oldArray.get(i));
		    }

		    return newArray;
		}
}
","['JsArray', 'JsArrayInteger']","['com.google.gwt.core.client.JsArray', 'com.google.gwt.core.client.JsArrayInteger']"
